[gf] | [general] | [Eddy#5180] @ 2021-06-14 15:23:19.914000: +goose
[gf] | [general] | [Eddy#5180] @ 2021-06-15 21:40:29.547000: !foxgir
[gf] | [general] | [Eddy#5180] @ 2021-06-15 21:40:32.946000: !foxgirls
[gf] | [general] | [Eddy#5180] @ 2021-06-15 21:40:35.083000: !foxgirl
[gf] | [general] | [Eddys private hentai bot#1450] @ 2021-06-15 21:40:35.430000: 
[gf] | [general] | [Eddy#5180] @ 2021-06-15 21:53:17.760000: !help
[None] | [Direct Message with Eddy#5180] | [Eddys private hentai bot#1450] @ 2021-06-15 21:53:18.168000: 
[gf] | [general] | [Eddy#5180] @ 2021-06-18 23:55:52.803000: !help
[None] | [Direct Message with Eddy#5180] | [Eddys private hentai bot#1450] @ 2021-06-18 23:55:53.471000: 
[gf] | [general] | [Eddy#5180] @ 2021-07-18 09:38:56.270000: +hentai
[gf] | [general] | [Eddy#5180] @ 2021-07-18 09:39:06.214000: +tit
[gf] | [general] | [Eddy#5180] @ 2021-07-18 09:39:08.315000: +tits
[gf] | [general] | [Eddy#5180] @ 2021-07-18 09:39:24.793000: +feet
[gf] | [general] | [Eddy#5180] @ 2021-07-18 09:43:53.667000: !feet
[None] | [Direct Message with Eddy#5180] | [Eddys private hentai bot#1450] @ 2021-07-18 09:43:54.945000: 
[gf] | [fart] | [Eddy#5180] @ 2021-07-18 09:44:06.700000: !feet
[gf] | [fart] | [Eddys private hentai bot#1450] @ 2021-07-18 09:44:07.169000: 
[gf] | [fart] | [Eddy#5180] @ 2021-07-18 09:47:06.265000: !feet
[gf] | [fart] | [Eddys private hentai bot#1450] @ 2021-07-18 09:47:06.963000: 
[gf] | [fart] | [Eddy#5180] @ 2021-07-18 09:48:48.740000: +feet
[gf] | [fart] | [Eddy#5180] @ 2021-07-18 09:48:54.392000: !feet
[gf] | [general] | [Eddy#5180] @ 2021-07-18 09:51:09.298000: +help
[gf] | [general] | [Eddy#5180] @ 2021-07-18 09:51:15.689000: !help
[None] | [Direct Message with Eddy#5180] | [Eddys private hentai bot#1450] @ 2021-07-18 09:51:16.356000: 
