[gf] | [general] | [Eddy#5180] @ 2021-06-14 15:23:19.914000: +goose
[gf] | [general] | [Eddy#5180] @ 2021-06-15 21:40:29.547000: !foxgir
[gf] | [general] | [Eddy#5180] @ 2021-06-15 21:40:32.946000: !foxgirls
[gf] | [general] | [Eddy#5180] @ 2021-06-15 21:40:35.083000: !foxgirl
[gf] | [general] | [Eddys private hentai bot#1450] @ 2021-06-15 21:40:35.430000: 
[gf] | [general] | [Eddy#5180] @ 2021-06-15 21:53:17.760000: !help
[None] | [Direct Message with Eddy#5180] | [Eddys private hentai bot#1450] @ 2021-06-15 21:53:18.168000: 
[gf] | [general] | [Eddy#5180] @ 2021-06-18 23:55:52.803000: !help
[None] | [Direct Message with Eddy#5180] | [Eddys private hentai bot#1450] @ 2021-06-18 23:55:53.471000: 
[gf] | [general] | [Eddy#5180] @ 2021-07-18 09:38:56.270000: +hentai
[gf] | [general] | [Eddy#5180] @ 2021-07-18 09:39:06.214000: +tit
[gf] | [general] | [Eddy#5180] @ 2021-07-18 09:39:08.315000: +tits
[gf] | [general] | [Eddy#5180] @ 2021-07-18 09:39:24.793000: +feet
[gf] | [general] | [Eddy#5180] @ 2021-07-18 09:43:53.667000: !feet
[None] | [Direct Message with Eddy#5180] | [Eddys private hentai bot#1450] @ 2021-07-18 09:43:54.945000: 
[gf] | [fart] | [Eddy#5180] @ 2021-07-18 09:44:06.700000: !feet
[gf] | [fart] | [Eddys private hentai bot#1450] @ 2021-07-18 09:44:07.169000: 
[gf] | [fart] | [Eddy#5180] @ 2021-07-18 09:47:06.265000: !feet
[gf] | [fart] | [Eddys private hentai bot#1450] @ 2021-07-18 09:47:06.963000: 
[gf] | [fart] | [Eddy#5180] @ 2021-07-18 09:48:48.740000: +feet
[gf] | [fart] | [Eddy#5180] @ 2021-07-18 09:48:54.392000: !feet
[gf] | [general] | [Eddy#5180] @ 2021-07-18 09:51:09.298000: +help
[gf] | [general] | [Eddy#5180] @ 2021-07-18 09:51:15.689000: !help
[None] | [Direct Message with Eddy#5180] | [Eddys private hentai bot#1450] @ 2021-07-18 09:51:16.356000: 
[gf] | [general] | [Eddy#5180] @ 2022-09-06 03:21:00.628000+00:00: 
[gf] | [general] | [Eddy#5180] @ 2022-09-06 03:33:44.426000+00:00: 
[gf] | [general] | [Eddy#5180] @ 2022-09-06 03:33:52.715000+00:00: 
[gf] | [general] | [Eddy#5180] @ 2022-09-06 03:33:57.568000+00:00: 
[gf] | [general] | [Eddy#5180] @ 2022-09-06 03:34:26.599000+00:00: 
[gf] | [general] | [Eddy#5180] @ 2022-09-06 03:34:32.129000+00:00: 
[gf] | [general] | [Eddy#5180] @ 2022-09-06 03:35:12.195000+00:00: 
[gf] | [general] | [Eddy#5180] @ 2022-09-06 03:36:02.583000+00:00: 
[gf] | [general] | [Eddy#5180] @ 2022-09-06 03:36:28.798000+00:00: 
[gf] | [general] | [Eddy#5180] @ 2022-09-06 03:38:34.688000+00:00: 
[gf] | [general] | [Eddy#5180] @ 2022-09-06 03:39:32.044000+00:00: 
[gf] | [general] | [Eddy#5180] @ 2022-09-06 03:39:39.650000+00:00: 
[gf] | [general] | [Eddys private hentai bot#1450] @ 2022-09-06 03:45:00.345000+00:00: 
[gf] | [general] | [Eddy#5180] @ 2022-09-06 03:45:07.612000+00:00: 
[gf] | [general] | [Eddy#5180] @ 2022-09-06 03:45:14.907000+00:00: 
[gf] | [general] | [Eddy#5180] @ 2022-09-06 03:45:37.959000+00:00: 
[gf] | [general] | [Eddy#5180] @ 2022-09-06 03:46:38.524000+00:00: +feet
[gf] | [general] | [Eddy#5180] @ 2022-09-06 03:46:43.865000+00:00: +help
[None] | [Direct Message with Unknown User] | [Eddys private hentai bot#1450] @ 2022-09-06 03:46:44.638000+00:00: 
[gf] | [general] | [Eddy#5180] @ 2022-09-06 03:47:11.251000+00:00: +imggen
[gf] | [general] | [Eddy#5180] @ 2022-09-06 03:49:52.758000+00:00: +imggen
[gf] | [general] | [Eddy#5180] @ 2022-09-06 03:51:23.709000+00:00: +imggen
[gf] | [general] | [Eddy#5180] @ 2022-09-06 03:51:57.768000+00:00: +imggen
[gf] | [general] | [Eddy#5180] @ 2022-09-06 03:52:23.583000+00:00: +imggen
[gf] | [general] | [Eddy#5180] @ 2022-09-06 03:54:37.958000+00:00: +imggen duck crossing the street
[gf] | [general] | [Eddy#5180] @ 2022-09-06 03:58:43.561000+00:00: +imggen duck crossing the street
[gf] | [general] | [Eddy#5180] @ 2022-09-06 05:23:14.340000+00:00: +imggen duck crossing the street
[gf] | [general] | [Eddy#5180] @ 2022-09-06 05:23:14.340000+00:00: +imggen duck crossing the street
[gf] | [general] | [Eddy#5180] @ 2022-09-06 05:26:18.002000+00:00: +imggen duck crossing the street
[gf] | [general] | [Eddy#5180] @ 2022-09-06 05:28:30.667000+00:00: +imggen duck crossing the street
[gf] | [general] | [Eddy#5180] @ 2022-09-06 05:29:43.792000+00:00: +imggen duck crossing the street
[gf] | [general] | [Eddy#5180] @ 2022-09-06 05:33:53.641000+00:00: +imggen duck crossing the street
[gf] | [general] | [Eddy#5180] @ 2022-09-06 05:34:55.029000+00:00: +imggen duck crossing the street
[gf] | [general] | [Eddy#5180] @ 2022-09-06 05:36:12.352000+00:00: +imggen duck crossing the street
[gf] | [general] | [Eddy#5180] @ 2022-09-06 05:37:01.216000+00:00: +imggen duck crossing the street
[gf] | [general] | [Eddy#5180] @ 2022-09-06 05:38:34.099000+00:00: +imggen duck crossing the street
[gf] | [general] | [Eddy#5180] @ 2022-09-06 05:39:25.495000+00:00: +imggen duck crossing the street
[gf] | [general] | [Eddy#5180] @ 2022-09-06 05:40:10.588000+00:00: +imggen duck crossing the street
[gf] | [general] | [Eddy#5180] @ 2022-09-06 05:41:19.738000+00:00: +imggen duck
[gf] | [general] | [Eddy#5180] @ 2022-09-06 05:41:56.108000+00:00: +imggen duck crossing the street
[gf] | [general] | [Eddy#5180] @ 2022-09-06 05:42:50.424000+00:00: +imggen duck crossing the street
[gf] | [general] | [Eddy#5180] @ 2022-09-06 05:43:49.122000+00:00: +imggen duck crossing the street
